Car_ID,Manufacturer,Car_Model,Driver,Battery_Capacity_kWh,Battery_Percentage,Battery_Health,Expected_Distance_KM,Max_Speed_KMH,Instantaneous_Speed_KMH,Revenue,Age_Days,KM_Travelled,Energy_Consumption_Rate,Year_Manufactured,Maintenance_Cost,Charging,Running,Charging_Cost,Garage,Garage_Status,Timestamp
EV0047,MG,ZS EV,Driver_047,50.3,96.18,95.72,424.41,175,0,0.0,880,24979,0.17,2019,1189.37,1,0,250.82,Garage C,Charging,2025-01-01 01:48:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,81.5,94.48,348.05,167,124,369.54,1331,32622,0.16,2022,1644.16,0,1,0.0,Garage D,Working,2025-01-01 02:06:00
EV0015,MG,ZS EV,Driver_015,50.3,90.32,94.81,394.77,175,109,599.57,815,39460,0.17,2020,1591.3,0,1,0.0,Garage C,Working,2025-01-01 02:08:00
EV0031,MG,ZS EV,Driver_031,50.3,26.37,93.45,113.6,175,141,812.36,907,109902,0.17,2025,3750.56,0,1,0.0,Garage C,Working,2025-01-01 04:30:00
EV0049,Tesla,Model 3,Driver_049,60.0,10.95,92.35,50.56,225,0,0.0,1292,28966,0.14,2023,1514.98,1,0,72.05,Garage A,Charging,2025-01-01 04:45:00
EV0045,Tesla,Model 3,Driver_045,60.0,15.22,92.52,70.41,225,0,0.0,981,106060,0.14,2025,3672.3,1,0,147.66,Garage A,Charging,2025-01-01 05:28:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,60.52,87.25,238.67,167,103,460.14,1821,120322,0.16,2020,4520.16,0,1,0.0,Garage D,Parked,2025-01-01 05:58:00
EV0026,Tata,Nexon EV,Driver_026,40.5,40.04,85.6,159.38,120,70,0.0,2053,167758,0.18,2021,6059.24,0,1,0.0,Garage B,Parked,2025-01-01 06:42:00
EV0038,Tata,Nexon EV,Driver_038,40.5,75.68,96.7,340.3,120,115,883.89,407,13548,0.18,2022,609.94,0,1,0.0,Garage B,Working,2025-01-01 08:14:00
EV0021,Tesla,Model 3,Driver_021,60.0,53.55,85.91,230.02,225,198,374.05,2285,145344,0.14,2019,5502.82,0,1,0.0,Garage A,Working,2025-01-01 08:16:00
EV0023,MG,ZS EV,Driver_023,50.3,61.76,93.91,267.37,175,173,597.46,903,28809,0.17,2024,1315.77,0,1,0.0,Garage C,Working,2025-01-01 11:12:00
EV0026,Tata,Nexon EV,Driver_026,40.5,35.98,85.6,143.21,120,87,237.68,2053,167824,0.18,2021,6061.22,0,1,0.0,Garage B,Parked,2025-01-01 11:54:00
EV0006,Tata,Nexon EV,Driver_006,40.5,70.91,93.59,308.6,120,49,0.0,1009,69650,0.18,2020,2594.0,0,1,0.0,Garage B,Working,2025-01-01 14:06:00
EV0022,Tata,Nexon EV,Driver_022,40.5,41.79,87.13,169.31,120,113,970.66,1472,174093,0.18,2024,5958.79,0,1,0.0,Garage B,Working,2025-01-01 15:52:00
EV0041,Tesla,Model 3,Driver_041,60.0,47.05,91.85,216.08,225,178,466.65,1362,31133,0.14,2023,1614.99,0,1,0.0,Garage A,Working,2025-01-01 16:10:00
EV0030,Tata,Nexon EV,Driver_030,40.5,37.68,97.35,170.57,120,45,385.85,339,25856,0.18,2023,945.18,0,1,0.0,Garage B,Working,2025-01-01 17:38:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,66.42,85.88,257.83,167,122,0.0,1948,148280,0.16,2022,5422.4,0,1,0.0,Garage D,Working,2025-01-01 17:59:00
EV0005,Tesla,Model 3,Driver_005,60.0,10.71,96.51,51.68,225,0,0.0,448,14205,0.14,2022,650.15,1,0,403.23,Garage A,Charging,2025-01-01 18:14:00
EV0034,Tata,Nexon EV,Driver_034,40.5,41.07,95.74,182.84,120,68,0.0,532,38919,0.18,2025,1433.57,0,1,0.0,Garage B,Working,2025-01-01 18:53:00
EV0029,Tesla,Model 3,Driver_029,60.0,78.72,90.22,355.11,225,0,0.0,1979,73975,0.14,2020,3208.75,1,0,368.48,Garage A,Charging,2025-01-01 19:25:00
EV0006,Tata,Nexon EV,Driver_006,40.5,97.8,93.59,425.62,120,0,0.0,1009,68236,0.18,2020,2551.58,1,0,250.89,Garage B,Charging,2025-01-01 20:41:00
EV0005,Tesla,Model 3,Driver_005,60.0,48.61,96.51,234.57,225,0,0.0,448,13577,0.14,2022,631.31,1,0,349.32,Garage A,Charging,2025-01-01 21:05:00
EV0032,Hyundai,Kona EV,Driver_032,39.2,23.43,92.04,97.47,167,162,200.7,1016,84173,0.16,2024,3033.19,0,1,0.0,Garage D,Working,2025-01-01 22:05:00
EV0005,Tesla,Model 3,Driver_005,60.0,33.38,96.51,161.08,225,39,305.23,448,16315,0.14,2022,713.45,0,1,0.0,Garage A,Working,2025-01-01 23:31:00
EV0027,MG,ZS EV,Driver_027,50.3,30.68,88.48,125.14,175,125,327.24,1743,97292,0.17,2020,3790.26,0,1,0.0,Garage C,Working,2025-01-01 23:53:00
EV0030,Tata,Nexon EV,Driver_030,40.5,74.92,97.35,339.15,120,77,886.53,339,22040,0.18,2023,830.7,0,1,0.0,Garage B,Working,2025-01-02 00:04:00
EV0026,Tata,Nexon EV,Driver_026,40.5,72.34,85.6,287.94,120,0,0.0,2053,169502,0.18,2021,6111.56,1,0,76.91,Garage B,Charging,2025-01-02 01:19:00
EV0038,Tata,Nexon EV,Driver_038,40.5,82.35,96.7,370.29,120,0,0.0,407,13677,0.18,2022,613.81,1,0,324.98,Garage B,Charging,2025-01-02 01:46:00
EV0028,Hyundai,Kona EV,Driver_028,39.2,24.53,85.52,94.82,167,11,335.09,1919,130193,0.16,2022,4865.29,0,1,0.0,Garage D,Working,2025-01-02 02:03:00
EV0013,Tesla,Model 3,Driver_013,60.0,8.31,92.84,38.58,225,0,0.0,1069,58976,0.14,2025,2303.78,1,0,208.53,Garage A,Charging,2025-01-02 02:30:00
EV0013,Tesla,Model 3,Driver_013,60.0,44.35,92.84,205.87,225,0,0.0,1069,59150,0.14,2025,2309.0,1,0,254.53,Garage A,Charging,2025-01-02 03:16:00
EV0022,Tata,Nexon EV,Driver_022,40.5,13.14,87.13,53.24,120,0,0.0,1472,171722,0.18,2024,5887.66,1,0,456.33,Garage B,Charging,2025-01-02 03:16:00
EV0027,MG,ZS EV,Driver_027,50.3,45.03,88.48,183.67,175,87,533.13,1743,94442,0.17,2020,3704.76,0,1,0.0,Garage C,Working,2025-01-02 04:33:00
EV0021,Tesla,Model 3,Driver_021,60.0,73.68,85.91,316.49,225,0,0.0,2285,146435,0.14,2019,5535.55,1,0,119.14,Garage A,Charging,2025-01-02 04:56:00
EV0027,MG,ZS EV,Driver_027,50.3,94.53,88.48,385.58,175,160,726.56,1743,97294,0.17,2020,3790.32,0,1,0.0,Garage C,Working,2025-01-02 05:16:00
EV0014,Tata,Nexon EV,Driver_014,40.5,95.17,99.2,439.0,120,0,0.0,316,29372,0.18,2022,1039.16,1,0,400.37,Garage B,Charging,2025-01-02 05:51:00
EV0027,MG,ZS EV,Driver_027,50.3,85.86,88.48,350.22,175,53,551.22,1743,96523,0.17,2020,3767.19,0,1,0.0,Garage C,Parked,2025-01-02 06:30:00
EV0038,Tata,Nexon EV,Driver_038,40.5,85.73,96.7,385.49,120,27,338.05,407,14973,0.18,2022,652.69,0,1,0.0,Garage B,Working,2025-01-02 07:12:00
